scheduler,seed,total_steps,avg_wait_pct,status
simple,100,742,33.09,SUCCESS
simple,101,858,28.23,SUCCESS
simple,102,880,35.06,SUCCESS
simple,103,1076,26.65,SUCCESS
simple,104,815,28.28,SUCCESS
simple,105,895,32.88,SUCCESS
simple,106,1175,27.17,SUCCESS
simple,107,1043,28.98,SUCCESS
simple,108,835,34.49,SUCCESS
simple,109,770,35.49,SUCCESS
simple,110,664,35.09,SUCCESS
simple,111,710,31.02,SUCCESS
simple,112,748,33.39,SUCCESS
simple,113,949,33.3,SUCCESS
simple,114,900,32.39,SUCCESS
simple,115,725,37.14,SUCCESS
simple,116,937,28.28,SUCCESS
simple,117,970,35.08,SUCCESS
simple,118,827,35.04,SUCCESS
simple,119,791,33.53,SUCCESS
simple,120,825,32.3,SUCCESS
simple,121,816,31.04,SUCCESS
simple,122,1062,28.04,SUCCESS
simple,123,794,33.44,SUCCESS
simple,124,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking shelf2. Simulation cannot proceed.
simple,125,826,35.93,SUCCESS
simple,126,,,BLOCKED_BY_FAULTrobot2 has critically faulted and is blocking goal1. Simulation cannot proceed.
simple,127,673,35.74,SUCCESS
simple,128,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal0. Simulation cannot proceed.
simple,129,654,31.04,SUCCESS
simple,130,1117,26.25,SUCCESS
simple,131,730,28.73,SUCCESS
simple,132,769,34.95,SUCCESS
simple,133,,,BLOCKED_BY_FAULTrobot2 has critically faulted and is blocking goal1. Simulation cannot proceed.
simple,134,829,34.44,SUCCESS
simple,135,793,31.4,SUCCESS
simple,136,765,33.01,SUCCESS
simple,137,726,35.57,SUCCESS
simple,138,869,30.52,SUCCESS
simple,139,1149,23.52,SUCCESS
simple,140,948,32.75,SUCCESS
simple,141,756,36.34,SUCCESS
simple,142,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal1. Simulation cannot proceed.
simple,143,669,36.14,SUCCESS
simple,144,806,32.51,SUCCESS
simple,145,,,SIM_ERRORSimulation still running after step limit
simple,146,1176,24.64,SUCCESS
simple,147,860,31.51,SUCCESS
simple,148,896,29.3,SUCCESS
simple,149,898,32.21,SUCCESS
heft,100,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking goal1. Simulation cannot proceed.
heft,101,738,31.0,SUCCESS
heft,102,,,BLOCKED_BY_FAULTrobot2 has critically faulted and is blocking goal0. Simulation cannot proceed.
heft,103,1271,24.84,SUCCESS
heft,104,811,33.14,SUCCESS
heft,105,890,31.4,SUCCESS
heft,106,898,29.98,SUCCESS
heft,107,975,31.38,SUCCESS
heft,108,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal0. Simulation cannot proceed.
heft,109,803,34.78,SUCCESS
